model,wins,total,win_rate
src/analysis/data/jjzha-Qwen2.5-0.5B-Instruct-SEFI_seed1_inference.csv,31,34,91.17647058823529
src/analysis/data/jjzha-Llama-3.2-1B-Instruct-SEFI_seed2_inference.csv,30,33,90.9090909090909
src/analysis/data/jjzha-Llama-3.2-3B-Instruct-SEFI_seed3_inference.csv,23,31,74.19354838709677
src/analysis/data/jjzha-Llama-3.1-8B-Instruct-SEFI_seed4_inference.csv,22,31,70.96774193548387
src/analysis/data/jjzha-Qwen2.5-14B-Instruct-SEFI_seed5_inference.csv,20,31,64.51612903225806
src/analysis/data/Qwen-Qwen2.5-14B-Instruct_seed5_inference.csv,11,31,35.483870967741936
src/analysis/data/meta-llama-Llama-3.1-8B-Instruct_seed4_inference.csv,9,31,29.03225806451613
src/analysis/data/meta-llama-Llama-3.2-3B-Instruct_seed3_inference.csv,8,31,25.806451612903224
src/analysis/data/meta-llama-Llama-3.2-1B-Instruct_seed2_inference.csv,3,33,9.090909090909092
src/analysis/data/Qwen-Qwen2.5-0.5B-Instruct_seed1_inference.csv,3,34,8.823529411764707
